,Date,Price,Signal1,Signal2,Signal3,Signal4,Signal5,Signal6,Signal7
58,08-09-2016,3708.21,2698.41,2806.0965,2097.919,1670.9096,2498.2622,5182.96,9003.17195
59,07-09-2016,3716.472,2693.072,2795.8761,2099.10135,1656.4919,2492.0759,5155.76,8935.9565
60,06-09-2016,3717.016,2707.216,2808.162,2100.2837,1673.1298,2497.5278,5155.76,8926.3277
61,02-09-2016,3705.966,2682.566,2820.0807,2095.3537,1675.8855,2491.3466,5155.76,8935.217
62,01-09-2016,3690.462,2680.662,2832.3054,2096.4366,1692.4809,2496.7934,5155.76,8933.88845
63,31-08-2016,3690.615,2694.415,2844.0711,2100.2701,1708.7227,2502.2334,5155.76,8932.5599
64,30-08-2016,3699.404,2689.604,2806.8921,2098.8251,1673.3848,2496.0573,5155.76,8939.6965
65,29-08-2016,3706.646,2683.246,2774.961,2097.1081,1642.1116,2489.8863,5155.76,8946.4727
66,26-08-2016,3687.368,2677.568,2793.4893,2097.5195,1663.5996,2495.3229,5155.76,8954.3335
67,25-08-2016,3693.199,2669.799,2772.6507,2095.556,1640.9301,2489.157,5155.76,8958.4475
68,24-08-2016,3698.248,2688.448,2794.3767,2100.2548,1664.9052,2494.5868,5155.76,8940.7828
69,23-08-2016,3717.73,2694.33,2779.0767,2100.7036,1646.5316,2488.426,5182.96,8946.2058
70,22-08-2016,3710.488,2673.488,2780.2242,2096.4332,1640.9301,2482.272,5155.76,8938.2549
71,19-08-2016,3712.579,2661.979,2764.6182,2093.8118,1622.3134,2476.1214,5155.76,8944.2032
72,18-08-2016,3717.934,2680.934,2781.2646,2098.5701,1642.353,2481.5461,5128.56,8911.0906
73,17-08-2016,3709.774,2686.374,2780.622,2100.9348,1648.9592,2486.9657,5128.56,8914.9224
74,16-08-2016,3702.855,2693.055,2789.802,2103.5188,1663.2018,2492.3802,5128.56,8913.8497
75,15-08-2016,3723.255,2699.855,2792.9844,2104.1444,1659.183,2486.2347,5101.36,8877.4918
76,12-08-2016,3712.885,2703.085,2789.955,2106.1164,1663.9362,2491.6441,5128.56,8901.4227
77,11-08-2016,3715.843,2692.443,2783.4525,2103.6514,1652.3881,2485.5037,5101.36,8886.1295
78,10-08-2016,3698.333,2661.333,2754.5049,2097.5518,1623.3861,2485.1382,5074.16,8899.7227
79,09-08-2016,3708.958,2685.558,2734.6149,2103.2468,1615.0221,2484.7727,5074.16,8892.0064
80,08-08-2016,3707.513,2670.513,2741.3928,2099.9998,1613.7947,2478.6425,5101.36,8910.159
81,05-08-2016,3710.879,2660.279,2733.2226,2097.6079,1600.9427,2472.5174,5074.16,8895.1157
82,04-08-2016,3679.225,2642.225,2771.4114,2095.7821,1637.7562,2477.9149,5046.96,8890.8436
